"DR1TS160.Code.or.Value","DR1TS160.Value.Description","DR1TS160.Count","DR1TS160.Cumulative","DR1TS160.Skip.to.Item"
"0 to 126.861","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
