"DR1ISODI.Code.or.Value","DR1ISODI.Value.Description","DR1ISODI.Count","DR1ISODI.Cumulative","DR1ISODI.Skip.to.Item"
"0 to 13068","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
