"DR2IS080.Code.or.Value","DR2IS080.Value.Description","DR2IS080.Count","DR2IS080.Cumulative","DR2IS080.Skip.to.Item"
"0 to 3.43","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
