"DRXTPHOS.Code.or.Value","DRXTPHOS.Value.Description","DRXTPHOS.Count","DRXTPHOS.Cumulative","DRXTPHOS.Skip.to.Item"
"0 to 10283","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
