"DR1ISELE.Code.or.Value","DR1ISELE.Value.Description","DR1ISELE.Count","DR1ISELE.Cumulative","DR1ISELE.Skip.to.Item"
"0 to 2549.6","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
