"DSQTKCAL.Code.or.Value","DSQTKCAL.Value.Description","DSQTKCAL.Count","DSQTKCAL.Cumulative","DSQTKCAL.Skip.to.Item"
"0.1 to 425","Range of Values",1850,1850,NA
".","Missing",7404,9254,NA
