"DR2IS060.Code.or.Value","DR2IS060.Value.Description","DR2IS060.Count","DR2IS060.Cumulative","DR2IS060.Skip.to.Item"
"0 to 1.991","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
