"DRD350G.Code.or.Value","DRD350G.Value.Description","DRD350G.Count","DRD350G.Cumulative","DRD350G.Skip.to.Item"
"1","Yes",314,314,""
"2","No",2991,3305,"DRD350H"
".","Missing",5399,8704,""
