"DRD370CQ.Code.or.Value","DRD370CQ.Value.Description","DRD370CQ.Count","DRD370CQ.Cumulative","DRD370CQ.Skip.to.Item"
"1 to 16","Range of Values",119,119,NA
".","Missing",8585,8704,NA
