"DR2TCOPP.Code.or.Value","DR2TCOPP.Value.Description","DR2TCOPP.Count","DR2TCOPP.Cumulative","DR2TCOPP.Skip.to.Item"
"0.03 to 28.065","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
