"DSD128DD.Code.or.Value","DSD128DD.Value.Description","DSD128DD.Count","DSD128DD.Cumulative","DSD128DD.Skip.to.Item"
"38","FOR RELAXATION, STRESS, SLEEP",231,231,NA
".","Missing",9753,9984,NA
