"DRD370E.Code.or.Value","DRD370E.Value.Description","DRD370E.Count","DRD370E.Cumulative","DRD370E.Skip.to.Item"
"1","Yes",518,518,""
"2","No",3820,4338,"DRD370F"
".","Missing",4366,8704,""
