"DR2TVB1.Code.or.Value","DR2TVB1.Value.Description","DR2TVB1.Count","DR2TVB1.Cumulative","DR2TVB1.Skip.to.Item"
"0 to 13.241","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
