"DRXTS100.Code.or.Value","DRXTS100.Value.Description","DRXTS100.Count","DRXTS100.Cumulative","DRXTS100.Skip.to.Item"
"0 to 7.833","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
