"DRXTACAR.Code.or.Value","DRXTACAR.Value.Description","DRXTACAR.Count","DRXTACAR.Cumulative","DRXTACAR.Skip.to.Item"
"0 to 31067","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
