"DRQ370OQ.Code.or.Value","DRQ370OQ.Value.Description","DRQ370OQ.Count","DRQ370OQ.Cumulative","DRQ370OQ.Skip.to.Item"
"1 to 7","Range of Values",43,43,NA
".","Missing",9239,9282,NA
