"DR1TSODI.Code.or.Value","DR1TSODI.Value.Description","DR1TSODI.Count","DR1TSODI.Cumulative","DR1TSODI.Skip.to.Item"
"0 to 25949","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
