"DRXTM181.Code.or.Value","DRXTM181.Value.Description","DRXTM181.Count","DRXTM181.Cumulative","DRXTM181.Skip.to.Item"
"0 to 328.836","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
