"DR1TS140.Code.or.Value","DR1TS140.Value.Description","DR1TS140.Count","DR1TS140.Cumulative","DR1TS140.Skip.to.Item"
"0 to 19.808","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
