"DSQIVK.Code.or.Value","DSQIVK.Value.Description","DSQIVK.Count","DSQIVK.Cumulative","DSQIVK.Skip.to.Item"
"1 to 10000","Range of Values",1257,1257,NA
".","Missing",8727,9984,NA
