"DRQ370IQ.Code.or.Value","DRQ370IQ.Value.Description","DRQ370IQ.Count","DRQ370IQ.Cumulative","DRQ370IQ.Skip.to.Item"
"1 to 30","Range of Values",198,198,NA
".","Missing",9084,9282,NA
