"DRXTM161.Code.or.Value","DRXTM161.Value.Description","DRXTM161.Count","DRXTM161.Cumulative","DRXTM161.Skip.to.Item"
"0 to 10.392","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
