"DSQTPROT.Code.or.Value","DSQTPROT.Value.Description","DSQTPROT.Count","DSQTPROT.Cumulative","DSQTPROT.Skip.to.Item"
"0.002 to 60","Range of Values",205,205,NA
".","Missing",9049,9254,NA
