"DR1IS120.Code.or.Value","DR1IS120.Value.Description","DR1IS120.Count","DR1IS120.Cumulative","DR1IS120.Skip.to.Item"
"0 to 42.177","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
