"DSQIFA.Code.or.Value","DSQIFA.Value.Description","DSQIFA.Count","DSQIFA.Cumulative","DSQIFA.Skip.to.Item"
"1 to 16000","Range of Values",2623,2623,NA
".","Missing",7361,9984,NA
