"DRXIP183.Code.or.Value","DRXIP183.Value.Description","DRXIP183.Count","DRXIP183.Cumulative","DRXIP183.Skip.to.Item"
"0 to 8.639","Range of Values",141931,141931,NA
".","Missing",1073,143004,NA
