"DR2TVD.Code.or.Value","DR2TVD.Value.Description","DR2TVD.Count","DR2TVD.Cumulative","DR2TVD.Skip.to.Item"
"0 to 92.1","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
