"DSD128GG.Code.or.Value","DSD128GG.Value.Description","DSD128GG.Count","DSD128GG.Cumulative","DSD128GG.Skip.to.Item"
"41","FOR ANTIOXIDANTS",6,6,NA
".","Missing",9978,9984,NA
