"DRXTVB6.Code.or.Value","DRXTVB6.Value.Description","DRXTVB6.Count","DRXTVB6.Cumulative","DRXTVB6.Skip.to.Item"
"0 to 24.077","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
