"DTD160Q.Code.or.Value","DTD160Q.Value.Description","DTD160Q.Count","DTD160Q.Cumulative","DTD160Q.Skip.to.Item"
"0 to 30","Range of Values",7845,7845,NA
"777","Refused",3,7848,NA
"999","Don't know",8,7856,NA
".","Missing",685,8541,NA
