"DRD370RQ.Code.or.Value","DRD370RQ.Value.Description","DRD370RQ.Count","DRD370RQ.Cumulative","DRD370RQ.Skip.to.Item"
"1 to 10","Range of Values",132,132,NA
".","Missing",8572,8704,NA
