"DTQ090U.Code.or.Value","DTQ090U.Value.Description","DTQ090U.Count","DTQ090U.Cumulative","DTQ090U.Skip.to.Item"
"1","Day",733,733,NA
"2","Week",2601,3334,NA
"3","Month",2684,6018,NA
"7","Refused",3,6021,NA
"9","Don't know",6,6027,NA
".","Missing",2514,8541,NA
