"DTQ100U.Code.or.Value","DTQ100U.Value.Description","DTQ100U.Count","DTQ100U.Cumulative","DTQ100U.Skip.to.Item"
"1","Day",204,204,NA
"2","Week",2368,2572,NA
"3","Month",3959,6531,NA
"7","Refused",3,6534,NA
"9","Don't know",6,6540,NA
".","Missing",2001,8541,NA
