"DS2TVK.Code.or.Value","DS2TVK.Value.Description","DS2TVK.Count","DS2TVK.Cumulative","DS2TVK.Skip.to.Item"
"5 to 5000","Range of Values",787,787,NA
".","Missing",7917,8704,NA
