"DRQ370RQ.Code.or.Value","DRQ370RQ.Value.Description","DRQ370RQ.Count","DRQ370RQ.Cumulative","DRQ370RQ.Skip.to.Item"
"1 to 8","Range of Values",157,157,NA
".","Missing",9125,9282,NA
