"DR2_300.Code.or.Value","DR2_300.Value.Description","DR2_300.Count","DR2_300.Cumulative","DR2_300.Skip.to.Item"
"1","Much more than usual",417,417,NA
"2","Usual",5281,5698,NA
"3","Much less than usual",986,6684,NA
"7","Refused",0,6684,NA
"9","Don't know",30,6714,NA
".","Missing",1990,8704,NA
