"DSQICOPP.Code.or.Value","DSQICOPP.Value.Description","DSQICOPP.Count","DSQICOPP.Cumulative","DSQICOPP.Skip.to.Item"
"0.0001 to 7.5","Range of Values",1428,1428,NA
".","Missing",8556,9984,NA
