"DRXTP182.Code.or.Value","DRXTP182.Value.Description","DRXTP182.Count","DRXTP182.Cumulative","DRXTP182.Skip.to.Item"
"0 to 191.047","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
