"DRD370O.Code.or.Value","DRD370O.Value.Description","DRD370O.Count","DRD370O.Cumulative","DRD370O.Skip.to.Item"
"1","Yes",82,82,""
"2","No",4256,4338,"DRD370P"
".","Missing",4366,8704,""
