"DRXIFDFE.Code.or.Value","DRXIFDFE.Value.Description","DRXIFDFE.Count","DRXIFDFE.Cumulative","DRXIFDFE.Skip.to.Item"
"0 to 4488","Range of Values",141931,141931,NA
".","Missing",1073,143004,NA
