"DR2EXMER.Code.or.Value","DR2EXMER.Value.Description","DR2EXMER.Count","DR2EXMER.Cumulative","DR2EXMER.Skip.to.Item"
"32 to 91","Range of Values",6714,6714,NA
".","Missing",1990,8704,NA
