"DRD350FQ.Code.or.Value","DRD350FQ.Value.Description","DRD350FQ.Count","DRD350FQ.Cumulative","DRD350FQ.Skip.to.Item"
"1 to 30","Range of Values",262,262,NA
".","Missing",8442,8704,NA
