"DSD010.Code.or.Value","DSD010.Value.Description","DSD010.Count","DSD010.Cumulative","DSD010.Skip.to.Item"
"1","Yes",4214,4214,NA
"2","No",5032,9246,NA
"7","Refused",3,9249,NA
"9","Don't know",5,9254,NA
".","Missing",0,9254,NA
