"DR1TFA.Code.or.Value","DR1TFA.Value.Description","DR1TFA.Count","DR1TFA.Cumulative","DR1TFA.Skip.to.Item"
"0 to 3522","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
