"FFQ0139B.Code.or.Value","FFQ0139B.Value.Description","FFQ0139B.Count","FFQ0139B.Cumulative","FFQ0139B.Skip.to.Item"
2,"Corn",2009,2009,NA
88,"Blank",4004,6013,NA
99,"Error",0,6013,NA
