"DR1TPOTA.Code.or.Value","DR1TPOTA.Value.Description","DR1TPOTA.Count","DR1TPOTA.Cumulative","DR1TPOTA.Skip.to.Item"
"0 to 14358","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
