"DRD370UQ.Code.or.Value","DRD370UQ.Value.Description","DRD370UQ.Count","DRD370UQ.Cumulative","DRD370UQ.Skip.to.Item"
"1 to 17","Range of Values",250,250,NA
".","Missing",8454,8704,NA
