"DR1IS040.Code.or.Value","DR1IS040.Value.Description","DR1IS040.Count","DR1IS040.Cumulative","DR1IS040.Skip.to.Item"
"0 to 7.226","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
