"DRQ350FQ.Code.or.Value","DRQ350FQ.Value.Description","DRQ350FQ.Count","DRQ350FQ.Cumulative","DRQ350FQ.Skip.to.Item"
"1 to 10","Range of Values",278,278,NA
".","Missing",9004,9282,NA
