"DR1ITHEO.Code.or.Value","DR1ITHEO.Value.Description","DR1ITHEO.Count","DR1ITHEO.Cumulative","DR1ITHEO.Skip.to.Item"
"0 to 1170","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
