"DRXTP184.Code.or.Value","DRXTP184.Value.Description","DRXTP184.Count","DRXTP184.Cumulative","DRXTP184.Skip.to.Item"
"0 to 0.927","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
