"DS1TCALC.Code.or.Value","DS1TCALC.Value.Description","DS1TCALC.Count","DS1TCALC.Cumulative","DS1TCALC.Skip.to.Item"
"2 to 4202","Range of Values",1323,1323,NA
".","Missing",7381,8704,NA
