"DTQ200U.Code.or.Value","DTQ200U.Value.Description","DTQ200U.Count","DTQ200U.Cumulative","DTQ200U.Skip.to.Item"
"1","Day",1424,1424,NA
"2","Week",2005,3429,NA
"3","Month",2359,5788,NA
"7","Refused",3,5791,NA
"9","Don't know",10,5801,NA
".","Missing",2740,8541,NA
