"DSD100U.Code.or.Value","DSD100U.Value.Description","DSD100U.Count","DSD100U.Cumulative","DSD100U.Skip.to.Item"
"1","Day",5079,5079,NA
"2","Week",347,5426,NA
"3","Month",661,6087,NA
"7","Refused",0,6087,NA
"9","Don't know",1,6088,NA
".","Missing",1551,7639,NA
