"DR1IBCAR.Code.or.Value","DR1IBCAR.Value.Description","DR1IBCAR.Count","DR1IBCAR.Cumulative","DR1IBCAR.Skip.to.Item"
"0 to 57944","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
