"DTQ250U.Code.or.Value","DTQ250U.Value.Description","DTQ250U.Count","DTQ250U.Cumulative","DTQ250U.Skip.to.Item"
"1","Day",265,265,NA
"2","Week",1805,2070,NA
"3","Month",3650,5720,NA
"7","Refused",4,5724,NA
"9","Don't know",4,5728,NA
".","Missing",2813,8541,NA
