"DS1IFDFE.Code.or.Value","DS1IFDFE.Value.Description","DS1IFDFE.Count","DS1IFDFE.Cumulative","DS1IFDFE.Skip.to.Item"
"7 to 17000","Range of Values",1550,1550,NA
".","Missing",4518,6068,NA
