"DSD128CC.Code.or.Value","DSD128CC.Value.Description","DSD128CC.Count","DSD128CC.Cumulative","DSD128CC.Skip.to.Item"
"37","TO IMPROVE SLEEP",37,37,NA
".","Missing",8363,8400,NA
