"DR1IVK.Code.or.Value","DR1IVK.Value.Description","DR1IVK.Count","DR1IVK.Cumulative","DR1IVK.Skip.to.Item"
"0 to 2236.8","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
