"DR2ICOPP.Code.or.Value","DR2ICOPP.Value.Description","DR2ICOPP.Count","DR2ICOPP.Cumulative","DR2ICOPP.Skip.to.Item"
"0 to 27.341","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
