"DSQIMFAT.Code.or.Value","DSQIMFAT.Value.Description","DSQIMFAT.Count","DSQIMFAT.Cumulative","DSQIMFAT.Skip.to.Item"
"0.17 to 6","Range of Values",82,82,NA
".","Missing",9902,9984,NA
