"DRQSPREP.Code.or.Value","DRQSPREP.Value.Description","DRQSPREP.Count","DRQSPREP.Cumulative","DRQSPREP.Skip.to.Item"
"1","Never",614,614,NA
"2","Rarely",1397,2011,NA
"3","Occasionally",2582,4593,NA
"4","Very Often",2986,7579,NA
"9","Don't know",149,7728,NA
".","Missing",976,8704,NA
