"DR1TM161.Code.or.Value","DR1TM161.Value.Description","DR1TM161.Count","DR1TM161.Cumulative","DR1TM161.Skip.to.Item"
"0 to 19.512","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
