"DR1TS080.Code.or.Value","DR1TS080.Value.Description","DR1TS080.Count","DR1TS080.Cumulative","DR1TS080.Skip.to.Item"
"0 to 16.416","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
